GEO_ID,NAME,S1501_C01_001E,S1501_C01_001M,S1501_C01_002E,S1501_C01_002M,S1501_C01_003E,S1501_C01_003M,S1501_C01_004E,S1501_C01_004M,S1501_C01_005E,S1501_C01_005M
Geography,Geographic Area Name,Total!!Estimate!!Population 18 to 24 years,Total!!Margin of Error!!Population 18 to 24 years,Total!!Estimate!!Less than high school graduate,Total!!Margin of Error!!Less than high school graduate,Total!!Estimate!!High school graduate (includes equivalency),Total!!Margin of Error!!High school graduate (includes equivalency),Total!!Estimate!!Some college or associate's degree,Total!!Margin of Error!!Some college or associate's degree,Total!!Estimate!!Bachelor's degree or higher,Total!!Margin of Error!!Bachelor's degree or higher
0400000US36,New York,1984974,1096,14.2,0.2,25.4,0.3,45.9,0.3,14.5,0.2
0500000US36001,"Albany County, New York",42125,68,7.5,1,25.1,1.7,50.3,2,17.1,1.5
0500000US36003,"Allegany County, New York",7722,134,4.8,1.5,23.2,2.9,65.5,3.1,6.4,1.7
0500000US36005,"Bronx County, New York",163111,210,26.9,0.8,25.7,0.9,40.6,1.1,6.8,0.5
0500000US36007,"Broome County, New York",26640,82,9.5,1.4,25.5,1.7,54.8,2.7,10.3,1.8
0500000US36009,"Cattaraugus County, New York",7634,92,18.1,2.8,29.6,3.2,45.7,3.9,6.6,1.6
0500000US36011,"Cayuga County, New York",7086,212,20.9,3,30.8,3.6,42.4,3.4,6,1.4
0500000US36013,"Chautauqua County, New York",15066,125,16.3,1.9,25.2,2.4,50.7,2.9,7.8,1.4
0500000US36015,"Chemung County, New York",8255,124,12.8,2.1,31.2,3.6,47.8,3.4,8.2,2.4
0500000US36017,"Chenango County, New York",3903,60,17.4,2.9,34.6,4.2,42.5,5.1,5.6,1.7
0500000US36019,"Clinton County, New York",10843,189,12.2,2.6,27.3,3.7,52.6,3.8,7.9,2.2
0500000US36021,"Columbia County, New York",4931,134,22,3.5,28.9,4.3,40.1,4.5,9,2.1
0500000US36023,"Cortland County, New York",8720,232,5.7,2.1,17.1,4.3,71.5,5.8,5.7,1.5
0500000US36025,"Delaware County, New York",4895,112,9.1,2.5,40.7,3.9,44.2,4.3,6,2.4
0500000US36027,"Dutchess County, New York",32968,46,11.3,1.3,24.9,2,54.7,2.3,9.1,1.2
0500000US36029,"Erie County, New York",96288,26,10.8,0.6,26.9,1.1,47.5,1.2,14.8,0.9
0500000US36031,"Essex County, New York",2992,79,24.5,4,34.9,5.6,30.6,4.7,10.1,3.6
0500000US36033,"Franklin County, New York",5160,210,20.3,3.3,31.8,4.7,39.8,4.1,8.1,2.1
0500000US36035,"Fulton County, New York",4425,136,22.1,4.5,30.9,4.5,40.9,5.6,6.1,3
0500000US36037,"Genesee County, New York",5519,138,13.9,2.5,29.5,3.4,46.9,4.1,9.6,2.1
0500000US36039,"Greene County, New York",4809,213,34.7,4.8,29.8,4,29,5,6.4,2.5
0500000US36041,"Hamilton County, New York",263,61,15.2,10.6,22.8,9.2,45.2,15.2,16.7,12.8
0500000US36043,"Herkimer County, New York",5766,111,13.4,2.9,32.6,3.6,47.8,4,6.2,1.8
0500000US36045,"Jefferson County, New York",14993,133,8.3,1.2,43.3,2.9,42.8,2.7,5.7,1.3
0500000US36047,"Kings County, New York",259585,104,17.6,0.5,25.5,0.7,41.5,0.7,15.3,0.5
0500000US36049,"Lewis County, New York",2200,57,19.7,3.6,34,4.6,38.3,4.7,8,3
0500000US36051,"Livingston County, New York",9767,141,7.2,2.3,21.4,2.8,64.8,3.6,6.6,1.6
0500000US36053,"Madison County, New York",9947,224,7.1,1.7,27.2,3.2,61,3.7,4.7,1.3
0500000US36055,"Monroe County, New York",83847,86,12.8,0.9,22.4,1,52.7,1.5,12.1,0.8
0500000US36057,"Montgomery County, New York",4148,48,23,3.1,25.9,4.1,42.5,4.2,8.7,2
0500000US36059,"Nassau County, New York",115947,55,8.9,0.6,24.3,1,47.7,1.2,19.1,0.7
0500000US36061,"New York County, New York",169867,148,11.3,0.8,18.1,0.8,37.8,1.2,32.9,0.9
0500000US36063,"Niagara County, New York",20148,98,11.6,1.8,31.2,2.1,48,2.7,9.2,1.3
0500000US36065,"Oneida County, New York",23457,36,13.8,1.6,29,1.9,46.5,2.4,10.6,1.4
0500000US36067,"Onondaga County, New York",51547,109,11.8,0.9,22.3,1.1,52.5,1.3,13.4,0.9
0500000US36069,"Ontario County, New York",10058,145,9.4,1.9,28.1,2.8,54.1,3.9,8.5,2.1
0500000US36071,"Orange County, New York",37846,55,15.9,1.5,30.3,2,45.3,1.9,8.6,1
0500000US36073,"Orleans County, New York",4005,122,24.3,3.8,38.1,5.5,32.9,5.1,4.7,2.3
0500000US36075,"Oswego County, New York",14857,153,9.2,1.5,27.5,2.6,56.7,3.2,6.5,1.2
0500000US36077,"Otsego County, New York",10611,153,7.8,1.9,23.2,2.9,63.7,4,5.3,1.5
0500000US36079,"Putnam County, New York",7698,126,9.1,2.6,23.4,3.6,47.8,4.4,19.6,3.2
0500000US36081,"Queens County, New York",214237,91,15.6,0.7,23.5,0.6,46.2,0.8,14.7,0.5
0500000US36083,"Rensselaer County, New York",18266,111,7.7,1.4,27.9,2.7,50.6,3.5,13.8,1.9
0500000US36085,"Richmond County, New York",44327,76,10.5,1.1,26.1,1.6,48.6,1.8,14.9,1.3
0500000US36087,"Rockland County, New York",28510,88,16.2,1.3,28.4,1.9,40.9,2,14.5,1.3
0500000US36089,"St. Lawrence County, New York",16978,202,10.9,2,23.4,2.7,58.3,3.7,7.4,1.5
0500000US36091,"Saratoga County, New York",18015,145,13.1,2.2,27.4,2.6,45.2,2.8,14.2,2.2
0500000US36093,"Schenectady County, New York",14526,216,13.4,2.2,29.8,2.9,46.6,2.8,10.1,1.5
0500000US36095,"Schoharie County, New York",3703,62,9.2,3.3,29.1,5.1,56.3,5.9,5.4,1.8
0500000US36097,"Schuyler County, New York",1508,79,27.1,7.1,32.4,7.1,28.4,6.7,12.1,4.3
0500000US36099,"Seneca County, New York",3261,118,25.7,4.1,33.1,4.2,29.7,4.2,11.5,2.6
0500000US36101,"Steuben County, New York",7856,83,18.9,2.2,38.6,3,35.8,3.3,6.7,1.4
0500000US36103,"Suffolk County, New York",133528,89,11.9,0.7,28.7,1,45.7,1.1,13.8,0.7
0500000US36105,"Sullivan County, New York",6605,145,21.2,3.4,30.7,4,39.3,4.1,8.8,2.1
0500000US36107,"Tioga County, New York",3807,62,15.3,4,38.6,6.4,34.4,7,11.7,3.5
0500000US36109,"Tompkins County, New York",27600,128,2.8,0.8,11.9,2.1,67.7,3.4,17.6,3.3
0500000US36111,"Ulster County, New York",18433,123,12.3,1.9,29.1,2.8,48,3,10.6,2
0500000US36113,"Warren County, New York",5118,101,11.2,3.1,37.1,5,42.2,4.2,9.5,2.9
0500000US36115,"Washington County, New York",5445,114,21.8,4.1,40.1,4.2,32.5,4.5,5.6,1.6
0500000US36117,"Wayne County, New York",7309,149,16.5,3.2,34.6,3.9,41.5,4.3,7.3,1.8
0500000US36119,"Westchester County, New York",80091,52,12.5,0.8,26.9,1.1,44,1.3,16.5,0.9
0500000US36121,"Wyoming County, New York",3414,117,19.2,3.5,32.7,4.9,41.2,5.3,7,2.2
0500000US36123,"Yates County, New York",2788,73,17.3,5,30.7,6.3,44,7,8,2.6